ba 	D 		ny 		ba D ny . Kuti ba kukaruka waona zvawanga usingafungiri. Pandakangoti ba kuona bhinya, ndakamhanya kunge ndichadambura gumbo.
bwaibwai 	KDKD 		ny 		bwaibwai KDKD ny . Kuti bwaibwai kutsonya-tsonya maziso kwemunhu apererwa nemazano kana adumbukidzwa. Kuti bwaibwai kubaka kunoita mwenje uchimbodzima.
b 	D 		nzv 		b D nzv . Iyi inzvanyira inodaidzwa ichinzi bi inowanikwa pakati pa a-a na chi mubumbiro remavara anoshandiswa kunyora rurimi rweChiShona.
babandu 	DDK 		ny 		babandu bhabhandu DDK ny . Kuti babandu kugaya-gaya chidyiwa chakaomarara nemazino zvichiita ruzha runonzikwa nevari pauri. Kana pwere dzichidya maputi dzinenge dzichiti babandu babandu kusvikira ava kugona kumedzeka.
bi bi 	K- 		ny 		bi bi K- ny . Kuti bi bi kurira kwebhera remota. pi pi .
bibiri 	D- 		ny 		bibiri D- ny . Kana chinhu chikati bibiri chinenge chadonhera pasi chobva chazara tsvina. Kuti bibiri kudzinga kana kutinha zvinhu kuti zvibve pazvanga zviri. Katsi yakati makonzo bibiri achibva adzokera muzumbu maanga abuda.
bwari bwari 	KD+ 		ny 		bwari bwari KD+ ny . Kuti bwari bwari kuchema uchingoburitsa misodzi asi pasina kuita ruzha.
bwata bwata 	D- 		ny 		bwata bwata D- ny . Kuti bwata bwata kufamba zvinyoronyoro, pamwe uchitsika nezvigunwe, kuitira kunyangira chimwe chinhu.
badu 	KD 		ny 		badu KD ny . Kuti badu kutsemuka kunoita zvakaita nyimo, nzungu kana chimwe chinhu chinoita mapande. Kuti badu kurovera nekumondoka kana kubva pendi kunoita chinhu chakaita sendiro kana poto chikadonhera pasi. Kuti badu kurova munhu nembama sezvakaita padama.
bamu 	D- 		ny 		bamu D- ny . Kuti bamu kutsemuka kwechinhu chichisara chiine mitsemu mitsemu.
bidinu 	D- 		ny 		bidinu D- ny . Kuti bidinu kuvhukunura chinhu chinorema kubva machanga chiri. Kuti bidinu kuburitsa chinhu changa chakavigwa. Mudzidzisi akati bidinu fodya nedoro zvanga zvavigwa nevana vechikoro. Kuti bidinu kubvanganyura zvinhu zvakawanda pakutsvaga chinhu chauri kuda. Kuti bidinu kubuda kwechinhu mumwena, muswe uri iwo unotanga.
buru buru 	D- 		ny 		buru buru D- ny . Kuti buru buru kudzika nekukasika. Kuti buru buru kutsakatika kana kurova kwechinhu.
burumbu 	KKD 		ny 		burumbu KKD ny . Kuti burumbu kutaura zvisinganzwiki.
buruzuzu 	D- 		ny 		buruzuzu D- ny . Kuti buruzuzu kugara seusingazivi zvekuita semunhu akapusa.
bwazhau 	KKD 		ny 		bwazhau KKD ny . Kuti bwazhau kutswanya chinhu chiri nyore kutswanyika.
bwazu 	KD 		ny 		bwazu KD ny . Kuti bwazu kudonhedza chinhu chinenge chiri muruoko rwemumwe.
bwebwe 	K- 		ny 		bwebwe K- ny . Kuti bwebwe kutaura zvinogumbura mumwe.
butiputi 	KKKD 		ny 		butiputi KKKD ny . Kuti butiputi kurira kunenge kuchiita chibage chakaoma chiri kukangwa maputi.
buu 	KD 		ny 		buu KD ny . Kuti buu kuboora chinhu.
bwerekeshe 	D- 		ny 		bwerekeshe D- ny . Kuti bwerekeshe kugara pasi munhu achiratidza kupererwa nesimba kana mazano. Apinda mumba ndokuti bwerekeshe, asina kumbotaura nemunhu nekuda kwenzara.
bweshu 	KD 		ny 		bweshu KD ny . Kuti bweshu kumedura chipenga chechimwe chinhu, sezvakaita chingabva pahari yevhu isati yapiswa.
bwi 	K 		ny 		bwi bwe K ny . Kuti bwi kubudisa mweya unonhuhwa neshure, zvinonzwika ruzha munhu asingadi. bhu .
bwibwi 	KD 		ny 		bwibwi KD ny . Kuti bwibwi kutaima kunoita kunze.
fefenu 	D- 		ny 		fefenu fefemu D- ny . fefemu . Kuti fefenu kubvisa ganda paronda.
feku 	DD 		ny 		feku DD ny . Kuti feku kumera kwembesa dzakawanda panguva imwe chete. Kuti feku kupararira kwechirwere panguva imwe chete.
dzoi dzoi 	KD+ 		ny 		dzoi dzoi KD+ ny . Kuti dzoi dzoi kuvhurika nokuvharika kwemaziso. boi boi .
dzororo 	K- 		ny 		dzororo K- ny . Kana munhu akati dzororo kumira anenge akamira asingazunguziki. sipiti .
fembu 	KD 		ny 		fembu KD ny . Kuti fembu kufemera mukati sezvinoita munhu anosvuta fodya yebute kana anoda kunzwa munhuwi. Kuti fembu kunyumwa kana kufungira.
gan'ara 	K- 		ny 		gan'ara K- ny . Kana pasi pakati gan'ara panenge pakaoma zvakanyanya. Anoda kuti titimbe gadheni ipo pasi pakaoma kuti gan'ara kudaro, asi anorwara!
ganan'ana 	KDDD 		ny 		ganan'ana KDDD ny . Kuti ganan'ana kuchena kwepane imwe nzvimbo.
gu 	D 		ny 		gu D ny . Kuti gu kurovera kwechinhu pane chimwe. bvanga, guma . Kuti gu kusangana kwevanhu vanga vasina kuzvironga. Kuti gu kukutura zvinhu uchirova-rova mazvinenge zviri. Iti gu gaba iri, munyu wose ubude.
gubhu 	KD 		ny 		gubhu KD ny . Kuti gubhu kupfachuka kwemvura kubva muchinhu chakaita sedende. Mvura yakati gubhu kubva mumugomo pandakaugumha.
gubidi 	DDK 		ny 		gubidi DDK ny . Kuti gubidi kumedza nokukasika zvinoita karuzha mukati.
gubu 	KD 		ny 		gubu KD ny . Kuti gubu kurova chinhu wobva wateura zvanga zviri machiri. Akati ndiro gubu, usavi hwose hwukawira muvhu.
dzu 	D- 		ny 		dzu D- ny . Kuti dzu kuzara kunenge kwakaita zvinhu zvinenge zvakaiswa mumudziyo. Ndiro yakanga yakati dzu nemanhanga akatsvukira.
dzudzunu 	D- 		ny 		dzudzunu D- ny . Kuti dzudzunu kusvika vanhu vasingafungiri. Murume anopenga akangoti dzudzunu kubva musango. tutururu .
dzunga dzunga 	KD+ 		ny 		dzunga dzunga KD+ ny . Kuti dzunga dzunga kufamba-famba zvisina chinangwa.
fenenga 	KKD 		ny 		fenenga KKD ny . Kuti fenenga kugara panzvimbo yakakwirira. Kuti fenenga kumira wakadzorera dumbu mukati.
fengu 	KD 		ny 		fengu KD ny . Kuti fengu kukudza mhino.
ganhu 	KD 		ny 		ganhu KD ny . Kuti ganhu kumira kuyerera kana kunaya kunoita mvura. Kuti ganhu kuparadzanisa zvinhu kana nzvimbo. Varume vaviri ava vaive nepurazi rakakura, asi vakazoriti ganhu nepakati, voti mumwe uko mumwe uko.
fundumwa 	KKD 		ny 		fundumwa funduma KKD ny . Kana wakati fundumwa kumeso kwako kunenge kuchiratidza kushatirwa kana kugumbuka.
fenya fenya 	KD+ 		ny 		fenya fenya KD+ ny . Kuti fenya fenya kuva nemhino kana shaya dzakareba. Kuti fenya fenya kuratidza kushaya rukudzo kune mumwe munhu, uchitofinyamisa kumeso kwako.
ferendende 	K- 		ny 		ferendende K- ny . Kuti ferendende kubatikana nezvinhu zvaunenge uchiita zvinenge zvakuwandira. Kuti ferendende kupararira kwevanhu kana mhuka kunzvimbo dzakasiyana-siyana.
ferenu 	D- 		ny 		ferenu D- ny . Kuti ferenu kubvisa makanda pachidyiwa chakaita seranjisi kana mbatatisi. fefemu . feferu .
gapi 	KD 		ny 		gapi KD ny . Kuti gapi kukapura mvura semanwiro anoita imbwa mvura.
garagada 	KDKD 		ny 		garagada KDKD ny . Kuti garagada kuputsika sekunoita mombe inenge ichiurayiwa, painenge yatemwa nedemo. Paakarohwa chibhakera chakasimba, akabva ati pasi garagada.
funu 	DK 		ny 		funu DK ny . Kuti funu kumenyeka kunoita ganda, sereranjisi kana kuti rembambaira yakabikwa. fefenu .
fesha 	D- 		ny 		fesha D- ny . Kana munhu akati fesha panguva yebasa, anenge atozorora zvake ambokanganwa nezvebasa racho. pe-e .
fetu 	KD 		ny 		fetu KD ny . Kuti fetu kupinza dumbu mukati mushure mokufema nekuburitsa mweya unenge uri mumuviri. fenenge . Kuti fetu kusvetuka uchidzokera kumashure.
dzvonyo 	DK 		ny 		dzvonyo DK ny . Kuti dzvonyo kubva ganda rinoputira mberi kwechombo chomurume.
dzvu 	K 		ny 		dzvu K ny . Kuti dzvu kurova chimwe chinhu zvakasimba, nechitanda kana shamhu. Kuti dzvu kudenha munhu uchimusundidzira, kana kumurova zvishoma negokora. Kuti dzvu kukura zvokubva pazera rokuita chihwanaudiki.
dzwi 	D 		ny 		dzwi D ny . dzvi .
fi-i 	K 		ny 		fi-i K ny . Kana mweya uchibuda nepakamanikidzika unorira uchiti fi-i sezvinoitika kana auchipomba bhasikoro. Kana mvura iri pamwoto yava kunzwika kuti fi-i inenge yava kuda kuzotanga kuvira. Kuti fi-i kukwenga ganda zvishoma nechinhu chakapinza, sezvakaita tsono.
fifinya 	KKD 		ny 		fifinya KKD ny . Kuti fifinya kutakudza munhu chinhu chinorema. Kuti fifinya kuunyanisa kumeso.
gasu 	KD 		ny 		gasu KD ny . Kuti gasu kupera kunaya kwemvura.
finya 	KD 		ny 		finya KD ny . Kana munhu ati finya anenge aunyanisa kuuso.
ge ge ge 	K- 		ny 		ge ge ge K- ny . Kuti ge ge ge kucheka zvakadzika nechinhu chakarodzeka, kuti panhu pashame. Kuti ge ge ge kuseka kwenguva refu, kazhinji zviri zvounzenza. Ndasvika patsime ndikanzwa kuti ge ge ge.
gebu 	KD 		ny 		gebu KD ny . Kuti gebu kutunga nenyanga zvakasimba.
gegedu 	KKD 		ny 		gegedu KKD ny . Kuti gegedu kubanda chinhu chakaoma kudya. Ndanzwa kuti gegedu ndikaziva kuti ari kudya bhonzo.
fuse 	D- 		ny 		fuse D- ny . Kuti fuse kuvharidzira chimwe chinhu nokuisa ivhu pamusuwo pacho. fushi . Kuti fuse kuzvimba kunoita nhengo yomuviri inenge yakuvara.
fushu 	KD 		ny 		fushu KD ny . Kuti fushu kubuda kunoita zviyo musaga kana rabvajuka. fuzhu .
fo 	D 		ny 		fo D ny . Kuti fo kuibva kunenge kuchangoita zvirimwa, senge chibage mumunda.
fo 	K 		ny 		fo K ny . Kuti fo kutswinya munhu zvine simba. Kuti fo kutsimbidzira kana kudzvanyidzira mukati moruoko rwomumwe negunwe rako guru. Kana mhepo ichipfuura napamusoro pegaba rine muromo mudiki, iro rakashama, inorira kuti fo . fe-e . Kuti fo kutyora muzura.
fodogo 	KKD 		ny 		fodogo KKD ny . Kuti fodogo kutsunya zvinorwadza nenzwara.
gi gi gi 	D- 		ny 		gi gi gi D- ny . Kuti gi gi gi kuseka zvine ruzha nezwi riri pamusoro. ge ge ge .
gidhi-i 	D- 		ny 		gidhi-i D- ny . Kuti gidhi-i kuita ruzha rukuru kwazvo rwakafanana nekuputika kwebhambo. Pakarira pfuti kuti gidhi-i, vanhu vose vakabva vatiza.
futunu 	D- 		ny 		futunu D- ny . Kuti futunu kuzvimba kana kufuta, sezvinoita bhora kana kuti chubhu yapombwa mweya.
fututu fututu 	D- 		ny 		fututu fututu D- ny . Kuti fututu fututu kufamba kwemunhu akatsamwa.
futyunu 	KKD 		ny 		futyunu KKD ny . Kuti futyunu kubudisa zvinhu zvakawanda panguva imwe chete, usingashandisi simba rakawanda. Kuti futyunu kubudisa maziso panze uchiadzvondora, sezvinoitwa nomunhu ashamiswa kana kuvhunduswa.
foi foi 	DK+ 		ny 		foi foi DK+ ny . Kana munhu achiti foi foi anenge achifambisa, achiratidza kuti hembe dzake dziri kumanidzira.
fomo 	DK 		ny 		fomo DK ny . vhomo .
fuzhu 	KD 		ny 		fuzhu KD ny . Kuti fuzhu kubvajuka kunoita zvinhu zvichibuda mumudziyo wokutakurira. Zviyo zvakati fuzhu, saga rabvaruka. fushu .
g 	KD 		nzv 		g KD nzv . Iyi inzvanyira inodaidzwa ichinzi jii inowanikwa pakati paefu naechi mubumbiro remavara anoshandiswa kunyora ChiShona.
ga ga 	K- 		ny 		ga ga K- ny . Kuti ga ga kutema nechimwe chinhu chinopinza kana chakaoma uchishandisa simba rakawanda chaizvo.
ga-a 	D- 		ny 		ga-a D- ny . Kuti ga-a kuvako kwechiedza chikuru kwenguva duku. Vanhu vakazoziva kuti tsotsi yaiva ani payakanzi ga-a netochi.
f 	KD 		nzv 		f KD nzv . Iyi inzvanyira inodaidzwa ichinzi efu , inowanikwa pakati pa ii na jii mubumbiro remavara anoshandiswa kunyora ChiShona. Muizwi rokuti kufafaidza muna maefu mangani?
fabu 	KD 		ny 		fabu KD ny . Kuti fabu kuzadza mudziyo unokwanisa kutakura mvura nezvimwewo zvakadaro. Nyatsozadza zigubhu iro kuti fabu nepeturo. pa . Kuti fabu kuregedza mweya wanga wakambodzivirirwa kana kudzvanyirirwa. Mwana akacheka chibhora chake nereza, mweya wanga uri mukati ukati fabu. bvujumu .
fongo 	KD 		ny 		fongo KD ny . Kuti fongo kukotama munhu asina hanya nekuti muviri wake wakafukidzwa here.
fonyo 	KD 		ny 		fonyo KD ny . Kuti fonyo kukombama kana kufovera. Demo rake rakati fonyo aritemera pamuti. Kana hanzu yati fonyo inenge yaputana.
foono 	KKD 		ny 		foono foonyo KKD ny . Kuti foono kutengesa vamwe vako kuvavengi pane zvamarangana. Zvese zvavakanga varangana zvakabva zvanzi foono kumapurisa nomudzimai womukoma, vakasungwa vose.
forototo 	D- 		ny 		forototo D- ny . Kuti forototo kupera mweya kunoita vhiri kana bhora rabayiwa nomunzwa. fototo .
go 	D 		ny 		go D ny . Kuti go kugara kwekuti magaro anenge ari pasi, tsoka dzakatsikawo pasi, kunoitwa kazhinji nemunhu anenge aneta. Ndakamuona atoti go kugara mumunda vamwe vachiita basa.
go 	K 		ny 		go K ny . Kuti go kutema muti kana chimwe chinhu. Kana nyoka ikati go, inenge yaruma chimwe chinhu.
go go go 	K- 		ny 		go go go go go goi K- ny . Kana munhu akati go go go anenge achikumbira mvumo yokupinda. Ndakanzwa kuti go go go, ndikaziwa kuti panze pane munhu. ko ko ko .
go-o 	D- 		ny 		go-o D- ny . Kana chokudya chichiti go-o chinenge chiine munyu wakawandisa. Muriwo waiti go-o kuvava nokuti wakanga warungwa kaviri.
godi 	KD 		ny 		godi KD ny . Kana chinhu chati godi chinenge chapinda pamwe panhu.
godi godi 	KD+ 		ny 		godi godi KD+ ny . Kuti godi godi kukwira danho kana chimwe chinhu nokukasika. kata kata .
gabada gabada 	D- 		ny 		gabada gabada gwabada gwabada D- ny . Kuti gabada gabada kufamba uchiita ruzha semunhu ane shangu dzakakurisa. Paakanayiwa nemvura aine majombo aifamba achiti gabada gabada.
gabhu 	D- 		ny 		gabhu D- ny . Kuti gabhu kubaka zvine simba, asi zvisina chifungidziro, kunoita uswa kana chinhu chaiswa parafini. Pakauya mhepo sora rakabva rati gabhu. ngandu .
gabidi gabidi 	DDK+ 		ny 		gabidi gabidi DDK+ ny . Kuti gabidi gabidi kunwa kunonzwika ruzha pahuro. Mombe padzakapedza kudya upfu, dzakabva dzati gabidi gabidi kunwa mvura yakanga iri mumigomo.
gada 	KD 		ny 		gada KD ny . Kuti gada kugara pasi. Kuti gada kuwa negotsi.
gadaga 	D- 		ny 		gadaga D- ny . Kuti gadaga kurembedza musoro sure, sezvinoita mwana akavata akaberekwa. ragu ragu .
fove 	D- 		ny 		fove D- ny . Kana chinhu chati fove chinenge chawira mukati. Kuti fove kumedza zvokudya zvose panguva imwe.
fovovo 	D- 		ny 		fovovo D- ny . Kuti fovovo kusvava kunoita mbambaira kana kuti mbatata yambenge iri nyoro. Kana chinhu chati fovovo chinenge chawira mukati. Kuti fovovo kupererwa namashoko wakoneswa kana kuti wazonzwisisa. Aifunga kuti andijuma, asi ini ndakamutsanangurira zvose zvanga zvaitika, akabva angoti fovovo kunyarara.
gojo gojo 	D- 		ny 		gojo gojo D- ny . Kana ngoro ichiti gojo gojo inenge ichiita ruzha ichifamba panogara dera. Usarega ngoro ichifamba nepamabwe ichingoti gojo gojo.
gadu 	KD 		ny 		gadu KD ny . Kuti gadu kurova munhu kana chimwe chinhu zvine simba. ga-a, ja-a . Kuti gadu kutema nesanhu zvine simba. ga-a, ja-a .
fandanu 	KKD 		ny 		fandanu fandanyu KKD ny . Kuti fandanu kuvhurika kana kubuda kwezvinhu zvanga zvakadzvanyirirwa pane imwe nzvimbo. Kuti fandanu kutaura uchibudisa pachena zvinhu zvanga zvakavandika.
fu 	D 		ny 		fu D ny . Kana chinhu chati fu chinenge chapera kana kutsakatika zvekusazoonekwazve. Kuti fu kufema zvine chisimba, sezvinoita handira kana yashatirwa. Kuti fu kufuridza kwaunoita uchibvisa tsvina kana guruva. Kuti fu kunyangarika zvokungoerekana pasisina chamuri kuona, sezvinoita nyoka yapinda mumwena. Kuti fu kupera kunoita chinhu, sezvakaita chokudya. tsvai .
fudugu 	KKD 		ny 		fudugu KKD ny . Kana ukati chinhu fudugu unenge wachivhura kana kuchikudubura kuti uone zviri mukati.
gojodo 	DDK 		ny 		gojodo gojoto DDK ny . Kuti gojodo kudonha kwemunhu kana mhuka inenge yangopera simba nokukasika. Mombe yakangonzi demo rimwe zete, ikabva yati gojodo. gwadagwa .
gombe 	KD 		ny 		gombe KD ny . Kuti gombe kupera simba, kazhinji mumabvi.
gagadi gagadi 	DDK+ 		ny 		gagadi gagadi DDK+ ny . Kuti gagadi gagadi kumhanya kunoita bhiza riri pamujaho.
gagama 	KKD 		ny 		gagama KKD ny . gaga .
gagami gagami 	DDK+ 		ny 		gagami gagami DDK+ ny . Kana munhu achiti gagami gagami anenge achifamba achiteedzera gumbo rinorwadza kana kuti rinenge riri pfupi. Akati gagami gagami achienda kumba, sezvo munzva wakanga watyokera mugumbo wakanga wakakura chaizvo.
fandu 	KD 		ny 		fandu fandyu KD ny . Kuti fandu kubuda kwezvinhu zvanga zvakamanikidzwa mumudziyo. Kuti fandu kuenda, kuuya kana kubuda kwezvinhu zvakawanda panguva imwe chete.
fufu 	KD 		ny 		fufu KD ny . Kuti fufu kufamba uchizvuva makumbo sezvinoita dhadha. Kana mudziyo wakati fufu unenge wakazara chaizvo zvokutorasikira. Dengu rakati fufu nezviyo.
fufunu 	KKD 		ny 		fufunu fefenu KKD ny . Kuti fufunu kubvisa kaganda kepamusoro pechinhu chakaita sembambata kana chironda. fefenu .
gahanana 	D- 		ny 		gahanana D- ny . Kuti gahanana kuramba wakatarisa chimwe chinhu pasina kubwaira.
faranu 	KKD 		ny 		faranu KKD ny . Kuti faranu kukura upamhi kwechinhu. Jira iri rakati faranu, zvokuti rinogona kufukwa kana nevanhu vatatu. Kuti faranu kuratidza mufaro mukuru kana wanga wakambosuwa. Mwana akanga aswera akangoti surududu, ndokuzongoti faranu pakauya mai vake.
fugudu 	KKD 		ny 		fugudu KKD ny . fuku .
gonjoro 	K- 		ny 		gonjoro K- ny . Kuti gonjoro kurira kunoita mugoro kana dhiramu risina chinhu, kazhinji kana muine kasimbi kana katombo.
gonon'ono 	D- 		ny 		gonon'ono D- ny . Kuti gonon'ono kugara kwemunhu asina zvaari kuda kuita, kazhinji panenge paine usimbe mukati.
fashanu 	KKD 		ny 		fashanu KKD ny . Kuti fashanu kubuda kwezvinhu zvakawanda panguva imwe chete. Mombe dzakati fashanu kubuda mudanga. fatyu .
fuku 	KD 		ny 		fuku KD ny . Kuti fuku kubvisa nhumbi kana kuti chimwe changa chakafukidza.
fukufuku 	D- 		ny 		fukufuku D- ny . Kana huku ichiti fukufuku mubukuta, inenge ichiumburuka ichiita seiri kutogeza naro.
fukumu 	KKD 		ny 		fukumu KKD ny . Kuti fukumu kukurumidza kumuka mangwanani. karakata . Kuti fukumu kushaya tsika kana mutsigo.
fukunu 	D- 		ny 		fukunu D- ny . Kuti fukunu kubudisa chinhu changa chiri muvhu rakapfava.
fukunyu 	D- 		ny 		fukunyu D- ny . fukunu .
dzitya 	KD 		ny 		dzitya KD ny . Kuti dzitya kudzima komwenje kana kwemoto pakarepo pawadzimwa. Donhwe remvura rakadonhera pachibani ndokubva changoti dzitya.
fatata 	D- 		ny 		fatata D- ny . Kuti fatata kunyatsorara, hope dzakakutsikirira. Kuti fatata kufa, kunyanya kana izvi zvangoerekana zvaitika vanhu vasingambofungiri. Kuti fatata kudonha pasi wobva wazvambarara nedumbu.
fatyanu 	KKD 		ny 		fatyanu KKD ny . fatyu .
fatyu 	KD 		ny 		fatyu KD ny . fashanu .
fe fe 	K- 		ny 		fe fe K- ny . Kana uchiridza furete kana bhosvo, unenge uchifuridza mweya uchiti fe fe .
fe-e 	D 		ny 		fe-e D ny . Kuti fe-e kufura dzihwa zvine simba. Kuti fe - e kufuridza kunoita kamhepo kanenge kachitonhorera. Kuti fe-e kubuda kunoita mweya muvhiri.
fedema 	KKD 		ny 		fedema KKD ny . Kuti fedema kumira wakakwevera dumbu mukati, uchangobva kufemera kunze uchibudisa mweya wose wanga uri mumapapu.
fukusu 	KKD 		ny 		fukusu KKD ny . Kuti fukusu kupetuka kana kudzoka muchitevedza pamambofamba napo.
dudu 	KD 		ny 		dudu KD ny . Kuti dudu kudzokera kumashure munhu akatarisa mberi. Mbavha yakabva payakapaza ichiti dudu, payakaona vanhu vouya.
detsu 	KD 		ny 		detsu KD ny . Ukanzi detsu nechibhakera unenge warohwa zvakasimba. Mutambi wetsiva akanzi nechibhakera detsu ndokubva awira pasi.
deya 	KD 		ny 		deya KD ny . Kuti deya kugara wakasununguka pasina zvinokunetsa. Pakaenda mai kunobika, vana vakasara zvavo vati deya kugara mumunda.
dh 	D 		nzv 		dh D nzv . Iyi inzvanyira inodaidzwa ichinzi dhi inowanikwa pakati pa di na e-e mubumbiro remavara anoshandiswa kunyora rurimi rweChiShona.
dhabhu 	D- 		ny 		dhabhu D- ny . Kuti dhabhu kurovera pasi nokukwira mudenga kungaitwa nechinhu chakaita sebhora. Bhora rakasvikorovera pasi zvine simba, ndokubva rati, dhabhu mudengazve. Kuti dhabhu kukwira nokudzika kunoita mapapiro eshiri huru kana yoda kubururuka.
dzikiti 	D- 		ny 		dzikiti D- ny . Kuti dzikiti kudzika pasi uchibva pakakwirira uchisvikomira wakanatsa kutsiga. jiti .
cho 	K 		ny 		cho K ny . Kuti cho kunhonga kunoita huku kana shiri tsanga ichidya nomuromo. Huku dzaiti rukweza cho cho. jo .
cho-o 	D- 		ny 		cho-o D- ny . Kuti cho-o kudira mvura kana kunaya kunoita mvura. Mvura yaiti cho-o usiku hwose. Kuti cho-o kupururudza. ririri .
chokonyo 	KKD 		ny 		chokonyo KKD ny . Kuti chokonyo kubviswa kunoita tsanga dzechibage pamuguri.
dhadhanu 	D- 		ny 		dhadhanu dadanu D- ny . Kuti dhadhanu kubvarura kana kubvisa pakasonwa penhumbi. radanu .
dhadhu 	D- 		ny 		dhadhu D- ny . Kuti dhadhu kucheka kana kubvarura chinhu chine mukati mune zvakanyorovera kana kuti zvinogona kuyerera zvichibuda. Tsotsi rakanzi dhadhu nebanga nepadumbu.
chonjoma 	KKD 		ny 		chonjoma KKD ny . Kuti chonjoma kutononona munhu akagara pazvitsitsinho, akatsika pasi nezvigunwe.
dhau 	KD 		ny 		dhau KD ny . Kuti dhau kupedza zvinhu zvose zvinenge zviripo. N'ombe dzakati dhau chibage chose chakanga chiri mumunda. dhu . Kuti dhau kurova chinhu zvine simba uchishandisa chibhakera.
dukununu 	D- 		ny 		dukununu D- ny . Kuti dukununu kugara munhu akangozvipeta, asina mufaro. Kuti dukununu kuunganira chinhu, sezvinoita pwere pamoto muchando.
dukwa 	KD 		ny 		dukwa KD ny . Kuti dukwa kugara munhu akaita seakachonjomara.
chowa chowa 	KD+ 		ny 		chowa chowa KD+ ny . Kuti chowa chowa kufamba munhu achiratidza kusaziva zvaari kuita kana kwaari kuenda.
chu 	D 		ny 		chu D ny . Kuti chu kuzara zvokudarikidza. Musi weKirisimasi kereke inenge yakati chu navanhu vachigamuchira chirairo. tu . Kunzi chu kurohwa neshamhu yakatetepa kumagumo zvichinzikwa kurira. Mudzidzisi akanditi chu neshamhu mumakumbo ndanonoka kuuya kuchikoro. tu .
chubvi 	DK 		ny 		chubvi DK ny . Kuti chubvu kunyika nhumbi dzokuwacha mumvura. Nhumbi dzangu dzakanzi chubvi mumvura ndikasara ndisisina chokupfeka.
chubwi 	DK 		ny 		chubwi DK ny . Kuti chubwi kuwira mumvura zvine mutsindo, zvinoita kuti mvura yacho ipfachukire. Zidombo rakanzi chubwi, mvura ikapfachukira kumapeto kwedziva.
dhe 	K 		ny 		dhe K ny . Kuti dhe kumuka mangwanani-ngwanani uchifamba rwendo. Muvhimi akafumoti dhe kuenda kunovhima musango. nhe . Kuti dhe kurova zvinokuvadza kana kuuraya chimwe chinhu. Kuti dhe kutarisa chinhu wakabudisa maziso zvakanyanya.
dhegemu 	KKD 		ny 		dhegemu KKD ny . Kuti dhegemu kuwira pasi zvine simba kwechinhu chinorema chichitsemuka-tsemuka.
dheru 	KD 		ny 		dheru KD ny . Kuti dheru kuwira pasi nomusana. Kuti dheru kubudisa tsvina nhete zvine ruzha, uchinzwa mudumbu.
churi churi 	DK+ 		ny 		churi churi DK+ ny . Kuti churi churi kumhanya kunoita munhu apererwa nezano, asinganyatsi kufunga nezvekwaari kuenda. Takaswerera kuti churi churi musango tichitsvaga n'ombe dzakanga dzava kumba nechekare. puka puka .
chwaba chwaba 	DK+ 		ny 		chwaba chwaba DK+ ny . Kuti chwaba chwaba ruzha runoitwa nezvipfeko zvakakurisa, uye zvakapfekwa nomunhu ari kufamba. Hovhorosi yasekuru yaingoti chwaba chwaba vachikavira chibage mumunda.
