g e ʧ	гэж
xʲ i ʧʰ e ɮ e s e	хичээлээсээ
xʲ i ʧʰ ə ɮ ɮ ə s ə ŋ	хичээллэсэн
xʲ i xʲ i	хихи
xʲ i ɮ ə g n ə ʧ	хилэгнэж
xʲ ii s ə ŋ g ui	хийсэнгүй
xʲ ii s ə ʧ	хийсэж
xʲ ii s g ə n	хийсгэнэ
xʲ ii ɮ t ə g	хийлдэг
xʲ ii ɮ g ə x ə r	хийлгэхээр
xʲ ii t u tʲ i ŋ	хийдүүдийн
xʲ ii g e r	хийгээр
xʲ ii g t ə n	хийгдэнэ
χ a j ə m a r	хаямаар
x a j ə ʧ e	хаяжээ
χ a ʃ ɢ ə r ə w	хашгирав
χ a ʃ ɢ ə r a ŋ	хашгираан
χ a ʃ	хаш
χ a ʦʰ ə r tʰ ai	хацартай
χ a tʰ ʊ r ə ɮ	хатуурал
χ a rʲ ʦʰ ə χ ə t	харьцахад
χ a r ʃ ɮ ə χ	харшлах
χ a r ʧʰ ʊ ɮ	харчуул
χ a r ʊ s ə ŋ	харуусан
χ a r m a r	хармаар
χ a rʲ ʊ ɮ tʰ ʊ t	хариултууд
x a rʲ ʊ g ui	хариугүй
χ a rʲ ə ɮ ʦʰ t ə g	харилцдаг
χ a r t ə χ	хардах
χ a r ɢ ə n	харгана
x a r g ə ɮ ʦ ə x g ui g e r	харгалзахгүйгээр
χ a r ə χ a s	харахаас
χ a r ə ɴ χ ʊi g	харанхуйг
χ a r ə m ʧʰ	харамч
χ a r ai ɮ tʰ ə t	харайлтад
χ a r ai ɮ tʰ a r	харайлтаар
χ a r ə ɢ ʧʰ ə ŋ	харагчин
χ a r ə ɢ t ə χ a r	харагдахаар
χ a r a χ	хараах
χ a r a ɮ ə ŋ	хараалын
χ a nʲ tʰ ai ɢ a	ханьтайгаа
χ a nʲ t a	ханьдаа
χ a ɴ χ ə ɮ ʧ	ханхалж
χ a n tʰ ai	хантай
x a n ɮʲ ə gʲ i ŋ	ханлигийн
χ a n t ʊ ɮ ə n	хандуулна
χ a n t ɮ ə ɢ a s	хандлагаас
x a n t ʧ e	ханджээ
χ a ɴ ɢ ə χ ʊi ʦʰ	хангахуйц
χ a ɴ ɢ ə ɮ ə g	хангалаг
χ a ɴ ɢ ə ɢ ʧʰ	хангагч
x a n ə ʃ g ui	ханашгүй
χ a n a r	ханаар
χ a m tʰ r ə χ	хамтрах
χ a m tʰ ɮ ə ɢ tʰ ai	хамтлагтай
χ a m tʰ ɮ ə ɢ a s	хамтлагаас
χ a m s a tʰ n ʊ t	хамсаатнууд
χ a m ʧ ɮ ə ɢ	хамжлага
χ a m ɢ a ɮ ə χ a s	хамгаалахаас
χ a m ɢ a ɮ ə ɮ tʰ a	хамгаалалтаа
χ a m ə r tʰ	хамарт
χ a m a r ʊ ɮ ʧ	хамааруулж
x a m a r t ə g g ui	хамаардаггүй
χ a ɮʲ s tʰ ai	хальстай
χ a ɮʲ s ə n	хальсны
χ a ɮʲ s ə n t	хальсанд
x a ɮʲ ʧ e	хальжээ
χ a ɮ ʊ ʦʰ ə ʧ	халууцаж
χ a ɮ ʊ r ʧʰ	халуурч
χ a ɮ ʊ r a t	халуураад
χ a ɮ s ə ŋ	халсан
χ a ɮʲ ə m ə n	халимны
χ a ɮ t w ə r ɮ ə s ə ŋ	халдварласан
χ a ɮ t w ə r ɮ ə t ə g	халдварладаг
χ a ɮ ə m ʧ ə tʰ	халамжит
x a ɮ ə m ʧ i g	халамжийг
χ a ɮ ə ɢ t ə ʧ	халагдаж
χ a ɮ a g	халааг
χ a ɮ a	халаа
χ ai r ɮ ʊ ɮ ʧ	хайрлуулж
x ai r ɮ ə ɮ g ui	хайрлалгүй
χ ai r ə n t a	хайрандаа
χ ai ɮ ʃ	хайлш
χ ai ɮ ʊ ɮ ə χ	хайлуулах
χ a ʦ ə ʧ	хазаж
χ a ʧ ʊ χ ə n t	хажууханд
χ a t ɢ ə ɮ ə m ʧ	хадгаламж
χ a t ɢ ə ɮ ə ɮ tʰ ə ŋ	хадгалалтын
χ a t ɢ ə ɮ ə ɮ tʰ	хадгалалт
χ a t ɢ ə ɮ ə ɢ ʧʰ	хадгалагч
χ a ɢ ə ʦʰ s ə ŋ	хагацсан
χ a ɢ ə r tʰ ə ɮ	хагартал
χ a w tʰ ə ŋ g	хавтанг
χ a w tʰ ai	хавтай
χ a wʲ a r a	хавиараа
χ aa j a χ ə ŋ	хааяахан
χ aa j	хаая
χ aa ɢ t ə ʧ	хаагдаж
pʰ i n u t	фэнүүд
pʰ ʊ n tʰ ə ŋ	фунтын
pʰ ɔ s pʰ ə r ə ŋ	фосфорын
pʰ ɔ r ə m	форм
pʰʲ i ʦ ə ɮ ə gʲ i	физиологи
pʰʲ e ŋ	фен
pʰ a ɢ ə ɮʲ tʰʲ ə tʰ	факультет
pʰ ai ɮ ʊ t	файлууд
ʊ j ə χ	уях
ʊ j ə r ʧʰ	уярч
ʊ ʧʰ ə r a t	учираад
ʊ ʧʰ ə g	учиг
ʊ ʦʰ a r tʰ ai	уцаартай
ʊ χ ʊ ɮ ɢ ə ŋ	ухуулгын
ʊ χ ʊ ɮ ə χ	ухуулах
ʊ χ ə s	ухас
ʊ χ ə m s ə r ɮ ə χ	ухамсарлах
ʊ χ ə m s ə r ɮ ə ŋ	ухамсарлан
ʊ χ a r t ə g	ухаардаг
ʊʊ χ ai ŋ	уухайн
ʊʊ s s ə ŋ	ууссан
ʊʊ s t ə g	уусдаг
ʊʊ r gʲ i g	уургийг
ʊʊ ɮ n	уулны
ʊʊ ɮ ʦ ə j	уулзая
ʊʊ ɮ ʦ ə w	уулзав
ʊʊ ɮ ə n t a	ууландаа
ʊʊ t ə ɮ ʧ	уудалж
ʊ tʰ ɢ a s	утгаас
ʊ tʰ ə s n a s	утаснаас
ʊ tʰ a tʰ	утаат
ʊ s tʰ ɢ ə t ə g	устгадаг
ʊ rʲ ʧ e	урьжээ
ʊ rʲ t ə ɴ χ	урьдынх
ʊ rʲ t ʧʰ ə ɮ ʧ	урьдчилж
ʊ rʲ t ʧʰ ə ɮ ɢ a	урьдчилгаа
ʊ rʲ t ə χ	урьдах
ʊ r ʊ t ə χ	уруудах
ʊ r ʊ t a t	уруудаад
ʊ r s ʧʰ	урсч
ʊ r s ɢ ə ɮ tʰ	урсгалт
ʊ r s ə ʦʰ ə ŋ	урсацын
ʊ r n a r	урнаар
ʊ r ɮ ə n t	урланд
ʊ r ɮ ə ɢ a r	урлагаар
ʊ rʲ ə χ	урих
ʊ rʲ a tʰ ai	уриатай
ʊ r ʧ	урж
ʊ r t ʊ r a	урдуураа
ʊ r ɢ ʊ ɮ a t	ургуулаад
ʊ r ɢ ə m ɮ ʊ t ə ŋ	ургамлуудын
ʊ r w ə ŋ	урван
ʊ r ə ɴ χ ai	уранхай
ʊ r ə ɮ t a n ʊ t ə t	уралдаануудад
ʊ r ə ɮ t a n a s	уралдаанаас
ʊ r a t	ураад
ʊ n ʃ ʊ ɮ ʧ	уншуулж
ʊ n ʃ s ə n	уншсаны
ʊ n ʃ ə ɢ ʧʰ t a	уншигчдаа
ʊ n tʰ ʧʰ ə χ s ə ŋ	унтчихсан
ʊ n tʰ ɮ a	унтлаа
ʊ n tʰ ə χ a r	унтахаар
ʊ n ʧ a t	унжаад
ʊ n t ʊi	ундуй
ʊ n ə χ ə g	унахыг
ʊ n ə s ə n	унасаны
ʊ n ə ɮ tʰ ə n t	уналтанд
ʊ n ə ɢ ə n	унаганы
ʊ m ə r t ə t	умардад
ʊ m a	ума
ʊ ɮ s ə ɴ χ	улсынх
ʊ ɮ s ʊ t a	улсуудаа
ʊ ɮ s tʰ ə r ʧʰ ə t	улстөрчид
ʊ ɮʲ ə r ə ɮ ə g	улиралыг
ʊ ɮ ə m ʧ ə ɮ s ə ŋ	уламжилсан
ʊ ɮ ai r a t	улайраад
ʊ ɮ ai ʧ	улайж
ʊ ɮ a ɢ ʧʰ ə ŋ	улаагчин
ʊ ɢ r ai ŋ	украйн
ʊi ɮ ɮ a	уйллаа
ʊi t ə ʧ	уйдаж
ʊi t a g ui	уйдаагүй
ʊ t ʧʰ ə χ ɮ a	удчихлаа
ʊ tʲ ə r tʰ ɢ ə ɮ	удиртгал
ʊ tʲ ə r t ɮ ə ɢ ʊ t ə t	удирдлагуудад
ʊ tʲ ə r t a t	удирдаад
ʊ t a t a	удаадаа
ʊ ɢ ʊi	угуй
ʊ ɢ tʰ ɮ a	угтлаа
ʊ ɢ tʰ ə n	угтана
ʊ ɢ s a tʰ n ə g	угсаатныг
ʊ ɢ s a n ə χ ə ŋ	угсааныхан
ʊ w ə ŋ	уван
tʰ o x ə r ə m ʧ tʰ e	төхөөрөмжтэй
tʰ o r ə ɮ tʰ e	төрөлтэй
tʰ o r x tʰ ə ŋ	төрхтөн
tʰ o r s ə nʲ i	төрсөний
tʰ o r m ə ɮʲ i ŋ	төрмөлийн
tʰ o r ɮ ə x tʰ nʲ i	төрлөхтний
tʰ o r ɮ u tʲ i ŋ	төрлүүдийн
tʰ o r ʧ s ə ŋ	төржсөн
tʰ o m rʲ i g	төмрийг
tʰ o ɮ o nʲ i	төлөөний
tʰ o ɮ ə ɮ ə g ʧʰ ə tʲ i ŋ	төлөөлөгчидийн
tʰ o ɮ o ɮ u ɮ ə ŋ	төлөөлүүлэн
tʰ o ɮ o ɮ ɮʲ i g	төлөөллийг
tʰ o ɮ ə g	төлөг
tʰ o ɮ ə w ʃ s ə ŋ	төлөвшсөн
tʰ o ɮ ə w ɮ ə t ə g	төлөвлөдөг
tʰ o ɮ ə wʲ i g	төлөвийг
tʰ o ɮ p ə ɮ	төлбөл
tʰ o g s ə n	төгсөнө
tʰ o g s ə ɮ tʰ	төгсөлт
tʰ o w ə r g ə ŋ	төвөргөөн
tʰ o w u t tʰ e	төвүүдтэй
tʰ uu x ʧʰ tʲ i ŋ	түүхчдийн
tʰ uu s ə ŋ	түүсэн
tʰ uu g e t	түүгээд
tʰ u r u ɮ p ə ɮ	түрүүлбэл
tʰ u r ə m gʲ i ɮ ə g ʧʰ ə t	түрэмгийлэгчид
tʰ u r x ə ʧ	түрхэж
tʰ u m pʰ ə ŋ	түмпэн
tʰ u m n e s	түмнээс
tʰ u ɮ ə g t ə ʧ	түлэгдэж
tʰ u ɮ ə g t s ə ŋ	түлэгдсэн
tʰ u g ʃ u rʲ i g	түгшүүрийг
tʰ u w ʃ ə n t e	түвшиндээ
tʰ i x u	тэхүү
tʰ i tʰ g ə s ə ŋ	тэтгэсэн
tʰ i tʰ g ə m ʧ	тэтгэмж
tʰ i tʰ g ə w ə rʲ i ŋ	тэтгэвэрийн
tʰ i s e t	тэсээд
tʰ i s ə x	тэсэх
tʰ i s s ə ŋ g ui	тэссэнгүй
tʰ i s r ə ɮ tʰʲ i ŋ	тэсрэлтийн
tʰ i s r ə ɮ tʰ	тэсрэлт
tʰ i r ə n tʰ e	тэрэнтэй
tʰ i r ə g ə r	тэрэгээр
tʰ e r x	тэрх
tʰ i r ɮ ə g	тэрлэг
tʰ i r g u ɮ ʧ e	тэргүүлжээ
tʰ i n u ɮ ʧʰ ə ŋ	тэнүүлчин
tʰ i n ə g ɮ ə ɮ	тэнэглэл
tʰ i ŋ xʲ ə mʲ i g	тэнхимийг
tʰ i ŋ g ə r u t	тэнгэрүүд
tʰ i ŋ gʲ i ŋ	тэнгийн
tʰ i m u ɮ ɮʲ i g	тэмүүллийг
tʰ i m ʦʰ ə x ə t	тэмцэхэд
tʰ i m ʦʰ ə ɮ t ə ŋ	тэмцэлдэн
tʰ i m ʦʰ ə ɮ t s ə ŋ	тэмцэлдсэн
tʰ i m ʦʰ s e r	тэмцсээр
tʰ i m tʰ ʧʰ ə ŋ	тэмтчин
tʰ i m t ə g ɮ ə x t e	тэмдэглэхдээ
tʰ i m t ə g ɮ ə g t ə ʧ	тэмдэглэгдэж
tʰ i ʧ ə s ə ŋ	тэжээсэн
tʰ i ʧ e ɮʲ i g	тэжээлийг
tʰ i g e	тэгээ
tʰ i gʲ e	тэгье
tʰ i g ʃ ə r s ə ŋ	тэгширсэн
tʰ i g ɮ e	тэглээ
tʰ i w ʧʰ e t	тэвчээд
tʰ e w ə n	тэвнэ
tʰ i w nʲ i ŋ	тэвнийн
tʰ ʊ ʃ a n	тушаана
tʰ ʊ ʃ a ɮ t a	тушаалдаа
tʰ ʊʊ r ɢ ə tʰ ə n	туургатны
tʰ ʊʊ nʲ i	тууний
tʰ ʊʊ ɮ t ə g	туулдаг
tʰ ʊ s ə n	тусна
tʰ ʊ s ɢ a r ɮ ə ɢ t ə ʧ	тусгаарлагдаж
tʰ ʊ r ʃ ʊ ɮ	туршуул
tʰ ʊ r ʃ ɮ ə ɢ a	туршлагаа
tʰ ʊ r ʃ i ŋ	туршийн
tʰ ʊ r gʲ i ŋ	туркийн
tʰ ʊ r ə χ	турах
tʰ ʊ ɴ χ ə ɢ ɮ ə ŋ	тунхаглан
tʰ ʊ ɮ ɢ ʊ r ɮ ə n	тулгуурлана
tʰ ʊ ɮ ɢ ə r ə n	тулгарна
tʰ ʊ ɮ ɢ ə t ə g	тулгадаг
tʰ ʊ ɮ ə ɮ t ʧ e	тулалджээ
tʰ ʊ ɮ ə ɮ t ə χ	тулалдах
tʰ ʊ ɮ ə ɮ t a n a r	тулалдаанаар
tʰ ʊ ɢ a	тугаа
tʰ rʲ i ɮ ɮʲ ə r	триллер
tʰ r a n ʦ ə s tʰ ə r	транзистор
tʰ r a m w ai	трамвай
tʰ r a g	трак
tʰ ɔ χ	тохь
tʰ ɔ χ ə r ʊ ɮ ə χ	тохируулах
tʰ ɔ χ ə r ʊ ɮ a t	тохируулаад
tʰ ɔ χ ə r ɔ	тохироо
tʰ ɔ χ ə r ə ɮ ʦʰ ə n	тохиролцооны
tʰ ɔ χ ə r ə n	тохирно
tʰ ɔ χ ə r t ə g	тохирдог
tʰ ɔ χ ɔ n	тохионо
tʰ ɔ χ ə ɮ t ə χ ə g	тохиолдохыг
tʰ ɔ χ ə t ə g	тохиодог
tʰ ɔ s ə n t	тосонд
tʰ ɔ s ɢ ə n ə s	тосгоноос
tʰ ɔ r χ	торх
tʰ ɔ r ə n t	торонд
tʰ ɔ r ə n	торны
tʰ ɔ r nʲ ə ʧ	торниж
tʰ ɔ r t ə ʧ	тордож
tʰ ɔ r ɢ ə n	торгоно
tʰ ɔ r ɢ ə m s ə g	торгомсог
tʰ ɔɔ ʦʰ ɔ ɮ ʧ e	тооцоолжээ
tʰ ɔɔ ʦʰ ɔ ɢ ɔ	тооцоогоо
tʰ ɔɔ ʦʰ ə g t ə x g ui	тооцогдохгүй
tʰ ɔɔ χ ɔ	тоохоо
tʰ ɔɔ s ə ŋ g ui	тоосонгүй
tʰ ɔɔ s ə n	тоосны
tʰ ɔɔ ɮ ʊ r	тоолуур
tʰ ɔɔ ɮ ə ɮ ə ŋ	тоололын
tʰ ɔɔ ɮ ə ɮ t	тоололд
tʰ ɔɔ ɮ ə ɢ t s ə ŋ	тоологдсон
tʰ ɔ n ə ɢ ɮ ə ɢ t s ə ŋ	тоноглогдсон
tʰ ɔ m ʧʰ ʊ t ə ŋ	томчуудын
tʰ ɔ m ɔ g ui	томоогүй
tʰ ɔ mʲ ə ɮ ə ɢ t ə χ	томилогдох
tʰ ɔ ɮʲ ə ŋ	толин
tʰ ɔ ɮʲ ə ɮ ʊ ɮ ə j	толилуулъя
tʰ ɔ ɮ ɢ ɔi ɢ ɔ s	толгойгоос
tʰ ɔi r ɢ ɔ r	тойргоор
tʰ ɔi r gʲ i g	тойргийг
tʰ ɔi m ʧʰ ə t	тоймчид
tʰ ɔ t r ʊ ɮ ɮ a	тодрууллаа
tʰ ɔ t r ʊ ɮ ə χ ə t	тодруулахад
tʰ ɔ t r ə w	тодров
tʰ ɔ t ə r ə n	тодорно
tʰ ɔ ɢ ʃ ə ʧ	тогшиж
tʰ ɔ ɢ tʰ ʊ ŋ	тогтуун
tʰ ɔ ɢ tʰ ə χ ə t	тогтоход
tʰ ɔ ɢ tʰ ɔ s ə n	тогтоосны
tʰ ɔ ɢ tʰ ɔ s n ɔ r	тогтоосноор
tʰ ɔ ɢ tʰ ə w ə ɮ	тогтоовол
tʰ ɔ ɢ tʰ ə ŋ	тогтон
tʰ ɔ ɢ tʰ n ə χ ə ŋ	тогтнохын
tʰ ɔ ɢ tʰ n ə χ ə t	тогтноход
tʰ ɔ ɢ tʰ n ə ɮ ə ɴ χ ɔ	тогтнолынхоо
tʰ ɔ g tʰ n ə ʧ e	тогтножээ
tʰ ɔ ɢ tʰ m ə ɮ ə g	тогтмолыг
tʰ ɔ ɢ tʰ w ə r ʧ ʊ ɮ ə χ	тогтворжуулах
tʰ ɔ ɢ tʰ w ə r ʧ s ə ŋ	тогтворжсон
tʰ ɔ ɢ ə s	тогос
tʰ ɔ ɢ ɮ ə χ ə ŋ	тоглохын
tʰ ɔ ɢ ɮ ə χ ə s	тоглохоос
tʰ ɔ ɢ ɮ ə χ ə t	тоглоход
tʰ ɔ ɢ ɮ ɔ m ə n	тоглоомны
tʰ ɔ ɢ ɮ ə ɮ tʰ ʊ t ə g	тоглолтуудыг
tʰ ɔ w ʧʰ ə ɮ ʧ	товчилж
tʰʲ ii r ə ɮ tʰ ə tʰ	тийрэлтэт
tʰʲ ii m u	тиймүү
tʰʲ i x n ə ɮ ə ɢ ə ŋ	технологын
tʰʲ i x nʲ ə g u t	техникүүд
tʰʲ i x nʲ ə g tʰ	техникт
tʰʲ i r m ə tʲ ə n ə mʲ ə gʲ i ŋ	термодинамикийн
tʰʲ i g tʰ ə nʲ ə g	тектоник
tʰ a χ ə ɮ ɢ ə ŋ	тахилгын
tʰ a χ ə ɮ ɢ ə tʰ	тахилгат
tʰ a tʰ ə j	татъя
tʰ a tʰ ʊ ɮ ə χ	татуулах
tʰ a tʰ ɢ ə ɮ ʦ ɮ a	татгалзлаа
tʰ a tʰ g ə ɮ ʦ ə x g ui	татгалзахгүй
tʰ a tʰ ə χ ə ŋ	татахын
tʰ a tʰ ə χ ə t	татахад
tʰ a tʰ a r	татаар
tʰ a r χ ə n t a	тархиндаа
tʰ a rʲ a ʧʰ ə n	тариачны
tʰ a r ɢ ə ɮ t ə g	таргалдаг
tʰ a r w ə s	тарвас
tʰ a nʲ s ə ŋ	таньсан
tʰ a nʲ ə ɮ ʦʰ ɮ a	танилцлаа
tʰ a n ai χ	танайх
tʰ a m xʲ i g	тамхийг
tʰ a mʲ ə r ʧʰ t ə g	тамирчдыг
tʰ a m t	тамд
tʰ a ɮ χ a	талхаа
tʰ a ɮ ʊ t ə t	талуудад
tʰ a ɮ p ə r ə g	талбарыг
tʰ a ɮ ə r χ ə w	талархав
tʰ ai tʰ ɢ ə r ʊ ɮ ʧ	тайтгаруулж
tʰ ai r t ə s	тайрдас
tʰ ai ɮ p ə r tʰ ai	тайлбартай
tʰ ai ɮ p ə r ɮ ə χ ə t	тайлбарлахад
tʰ ai ɮ p ə r ɮ ə ɢ ʧʰ	тайлбарлагч
tʰ ai ɮ ə χ ə t	тайлахад
tʰ ai ɮ ə ɢ n ə t ə g	тайлагнадаг
tʰ a wʲ ə ɮ ə ŋ gʲ i ŋ	тавилангийн
tʰ aa r ʧʰ e	таарчээ
tʰ aa r ə m ʧ	таарамж
tʰ aa r a g ui	таараагүй
tʰ aa m ə ɢ ɮ ə ɮ ʊ t	таамаглалууд
s o x r ə ŋ	сөхрөн
s o n o x	сөнөөх
s o n ə s ə ŋ	сөнөсөн
s o n ə ʧ	сөнөж
s o t o r	сөдөөр
s o g t ə ŋ	сөгдөн
s u s ə g tʰ e	сүсэгтэй
s u r t e t	сүрдээд
s u n t ə r ɮ ə s ə ŋ	сүндэрлэсэн
s u m u tʲ i ŋ	сүмүүдийн
s u m e s	сүмээс
s u ɮ ʧ e g e	сүлжээгээ
s ui r ə x	сүйрэх
s u w	сүв
s i x e tʰ n u tʲ i ŋ	сэхээтнүүдийн
s i x e n t	сэхээнд
s i tʰ g u ɮ ʦ ui ŋ	сэтгүүлзүйн
s i tʰ g ə ɮ ʦ ui	сэтгэлзүй
s i tʰ g ə g t ə ɮ u tʲ i g	сэтгэгдэлүүдийг
s i r ə s ə ŋ	сэрээсэн
s i r ə x ə t	сэрэхэд
s i r ə x t e	сэрэхдээ
s i r g ə tʰ ə ɮ	сэргэтэл
s i r g ə m	сэргэм
s i r g ə g	сэргэг
s i n tʰʲ i t	сэнтийд
s i ɮ p ə g	сэлбэг
s i t w e	сэдвээ
s i g s r e t	сэгсрээд
s i gʲ i g	сэгийг
s i w s g ə r	сэвсгэр
s xʲ e m	схем
s ʊʊ ʦʰ ʧ ʊ ɮ ə χ	сууцжуулах
s ʊʊ rʲ ʃ ə ɮ tʰ ai	суурьшилтай
s ʊʊ rʲ ə ɮ ʊ ɮ s ə ŋ	суурилуулсан
s ʊʊ ɮ t	суулд
s ʊʊ ɮ ɢ ə ʦʰ	суулгац
s ʊʊ t ə ɮ t a	суудалдаа
s ʊ r g ʊ ɮʲ ə ɮ tʰʲ i ŋ	сургуулилтийн
s ʊ r ɢ ʊ ɮʲ ə ɮ tʰ a	сургуулилтаа
s ʊ r ɢ a ɮ t	сургаалд
s ʊ r ə χ ə g	сурахыг
s ʊ r ə m ɢ ai	сурамгай
s ʊ r ə ɮ ʦʰ ə χ ə ŋ	суралцахын
s ʊ r ə ɮ ʦʰ ə χ ə g	суралцахыг
s ʊ n ʧ ə r s ə ŋ	сунжирсан
s ʊ m ə n t a	сумандаа
s ʊ ɮʲ pʰ ə tʰ	сульфат
s ʊ ɮ ɮ ʊ ɮ ə χ	суллуулах
s ʊ ɮ ɮ ə χ ə g	суллахыг
s ʊ ɮ ɮ ə ɢ t s ə ŋ	суллагдсан
s ʊ t r ə ŋ	судрын
s ʊ t ɮ ə ɢ ʧʰ	судлагч
s ʊ t ə ɮ ɢ a ŋ	судалгаан
s ʊ ɢ ə r	сугар
s ʊ w r ə ɢ	суврага
s ʊ wʲ ə ɮ ɮ ə ŋ	сувиллын
s ʊ w ɢ ʊ t ə g	сувгуудыг
s ʊ p j ə ɢ tʰ	субъект
s tʰʲ i ɮʲ e r	стилиэр
s tʰ a n ʦʰ a s	станцаас
s pʰʲ e g tʰ ə r	спектр
s ɔ ʦʰ ə ɮ ə gʲ i	социологи
s ɔ χ r ɔ r	сохроор
s ɔ rʲ ʦʰ	сорьц
s ɔ rʲ ə ɮ tʰ	сорилт
s ɔ n s s ɔ r	сонссоор
s ɔ n s s ə n ə s	сонссоноос
s ɔ n s ə ɢ t s ə ŋ	сонсогдсон
s ɔ n s m ɔ r	сонсмоор
s ɔ n s ɢ ə ɮ ə ŋ	сонсголын
s ɔ nʲ ə r χ ʊ ɮ ə j	сонирхуулъя
s ɔ nʲ ə r χ ə j	сонирхоё
s ɔ nʲ ə r χ w ə ɮ	сонирхвол
s ɔ nʲ ə n ʊ t ə ŋ	сонинуудын
s ɔ n t ə r	сондор
s ɔ n t ɢ ɔi	сондгой
s ɔ ŋ g ə x g ui	сонгохгүй
s ɔ ɴ ɢ ə ɮ tʰ tʰ ɔi	сонголттой
s ɔ ɴ ɢ ə ɮ tʰ ə t	сонголтод
s ɔ ɴ ɢ ə w	сонгов
s ɔ ɮ ə ɴ ɢ ə s ʧʰ ʊ t	солонгосчууд
s ɔ ɮʲ ə r	солир
s ɔ ɮʲ ə ɮ ʦʰ s ə ŋ	солилцсон
s ɔ ɮʲ ə ɮ ʦʰ ɔ n t	солилцоонд
s ɔ ɢ ɔ	согоо
s ɮ ɔ w ə g	словак
s ii r u ɮ ə ŋ	сийрүүлэн
s ii r u ɮʲ e	сийрүүлье
s ii ɮ p ə r	сийлбэр
s i g ə n tʲ i ŋ	секундийн
s t a	сда
s a j ə χ ə n	саяхны
s a χ ɮ a	сахлаа
s a χ ʊ ɮ ʧ	сахиулж
s a χ ʊ ɮ ə ɢ ʧʰ	сахиулагч
s a xʲ ə ɮ g ə g ui	сахилгагүй
s a χ a t	сахиад
s a n ʊ ɮ ə n	сануулна
s a n ʊ ɮ a t	сануулаад
s a n ɮ a	санлаа
s a ɴ ɢ a r	сангаар
s a ɴ ɢ a	сангаа
s a n ə s ə n t a	санасандаа
s a n ə ɮ t	саналд
s a n ə ɮ a s	саналаас
s a n ə ɢ t w ə ɮ	санагдвал
s a n ə ɢ t ə χ ə ŋ	санагдахын
s a n a ʧʰ ɮ ə χ	санаачлах
s a n a tʰ	санаат
s a m ə r ai	самурай
s a m s a	самсаа
s a m p ə r ə ŋ	самбарын
s a m p ə r a s	самбараас
s a ɮ ə n	сална
s a ɮ p ə r ɮ ə s ə ŋ	салбарласан
s a ɮ ə m ə n t ə r	саламандр
s a ɮ ə ɮ tʰ	салалт
s a ɮ a ɮ s ə ŋ	салаалсан
s ai tʰ ʊ t ə t	сайтуудад
s ai tʰ n a s	сайтнаас
s ai tʰ t a	сайтдаа
s ai ŋ g ui	сайнгүй
s a ɢ ɮ ə ɢ ə r	саглагар
s a w χ ə ŋ	савхин
s a w xʲ i	савхи
s aa tʰ ʊ ɮ ʧ e	саатуулжээ
s aa r ʊ ɮ ə χ	сааруулах
s aa r m ə g	саармаг
s aa ʧ	сааж
s aa t ə g	саадыг
s aa t tʰ ai	саадтай
r i ʦʰ ə rʲ	рыцарь
r ʊ m ə ŋ	румын
r ɔ m ə n ə g	романыг
r ɔ m ə n tʰʲ ə ʦ m ə ŋ	романтизмын
rʲ i ʦ ə n ə ŋ	резинэн
rʲ i t ə g ʦʰ i ŋ	редакцийн
rʲ i t ə g tʰ ə r ə ŋ	редакторын
r a ʃ a n ʊ t	рашаанууд
pʰ r ɔ ʦʰ ə s s ʊ t ə g	процессуудыг
pʰ r ɔ tʲ ə s s ə r	продюссер
pʰ r ɔ tʲ ə s ə r ə r	продюсерээр
pʰ r ɔ ɢ r ə m mʲ ə s tʰ ʊ t	программистууд
pʰ ɔ ɮ ɔ	поло
pʰ ɔ ɮʲ ə pʰʲ ə n ə ɮ	полифенол
pʰʲ ɔɔ nʲ ə rʲ i ŋ	пионерийн
pʰ a ɮʲ tʰ ɔ	пальто
ɔ ʧʰ m ɔ r	очмоор
ɔ ʧʰ ə s	очис
ɔ ʧʰ t ə g g ui	очдоггүй
ɔ χ ə n ə χ	охиных
ɔ χ ə t ɔ	охидоо
ɔ s ɢ ə ʧ	осгож
ɔ r ʧʰ ʊ ɮ p ə ɮ	орчуулбал
ɔ r ʧʰ ə χ ə ʧ	орчихож
ɔ r ʧʰ ə n	орчины
ɔ r χ ə ʧʰ ə χ ɔ t	орхичихоод
ɔ r xʲ ə x g ui	орхихгүй
ɔ r ʊ ɮ s n ə g	оруулсныг
ɔ r ʊ ɮ s n a s	оруулснаас
ɔ r ʊ ɮ p ə ɮ	оруулбал
ɔ r ʊ ɮ ə ɮ g ui	оруулалгүй
ɔ r ʊ ɮ ə ɢ ʧʰ tʰ ai	оруулагчтай
ɔ r ʊ ɮ ə g ʧʰ i g	оруулагчийг
ɔ r s ə n	орсоны
ɔ r s n ɔ	орсноо
ɔ r ə s tʰ	орост
ɔ r ɔ s ɔi	ороосой
ɔ r ɔ ŋ	ороон
ɔ r ə ɴ ɢ ʊ tʰ	оронгуут
ɔ r ə m ʧ ə n t	оромжинд
ɔ r ə m ʧ	оромж
ɔ r ə ɮ t ɮ ə ɢ ə g	оролдлогыг
ɔ r n ʊ t ə ɴ χ a	орнуудынхаа
ɔ r t ə ŋ g	ордонг
ɔ r ɢ ɔ t	оргиод
ɔ r ɢ ə ɮ ʊ t	оргилууд
ɔ r ɢ ə ɮ ʧ	оргилж
ɔɔ s ə r	оосор
ɔ n ə χ ɔ s	оныхоос
