A	ə
LAIBLE	l 'ej b ə l
LAIBOWITZ	l 'ej b ə w ɪ t s
LAIBROOK	l 'ej b ɹ ˌʊ k
LAICHE	l 'ej ʧ
LAID	l 'ej d
LAIDIG	l 'ej d ɪ g
LAIDLAW	l 'ej d l ˌɔ
LAIDLAW'S	l 'ej d l 'ɔ z
LAIDLER	l 'ej d l ə ɹ
LAIDLEY	l 'ej d l ij
LAIL	l 'ej l
LAIMBEER	l ˌej m b 'ɪ ɹ
LAIN	l 'ej n
LAINE	l 'ej n
LAING	l 'ɑ ɪ ŋ
LAINHART	l 'aj n h ɑ ɹ t
LAINO	l 'ej n ow
LAIR	l 'ɛ ɹ
LAIRD	l 'ɛ ɹ d
LAIRMORE	l 'ɛ ɹ m ɔ ɹ
LAIRSON	l 'ɛ ɹ s ə n
LAIS	l 'ej z
LAISSEZ	l 'ej z ˌej
LAISSEZ(1)	l 'ɛ z ˌej
LAIT	l 'ej
LAITINEN	l 'aj t ɪ n ə n
LAITY	l 'ej ə t ij
LAJEUNE	l ə ʤ 'ʌ n
LAJEUNESSE	l ə ʤ 'ʌ n ɛ s
LAJOIE	l 'æ ʤ w ɑ
LAJOUS	l ə ʒ 'uw s
LAK	l 'æ k
LAKATOS	l 'æ k ə t ow z
LAKE	l 'ej k
LAKE'S	l 'ej k s
LAKEBERG	l 'ej k b ə ɹ g
LAKEFIELD	l 'ej k f ˌij l d
LAKEFRONT	l 'ej k f ɹ ˌʌ n t
LAKELAND	l 'ej k l ə n d
LAKEMAN	l 'ej k m ə n
LAKER	l 'ej k ə ɹ
LAKERS	l 'ej k ə ɹ z
LAKES	l 'ej k s
LAKES'	l 'ej k s
LAKESHORE	l 'ej k ʃ ˌɔ ɹ
LAKESIDE	l 'ej k s ˌaj d
LAKEVIEW	l 'ej k v j ˌuw
LAKEWOOD	l 'ej k w ˌʊ d
LAKEY	l 'ej k ij
LAKIN	l 'æ k ɪ n
LAKINS	l 'æ k ɪ n z
LAKOTA	l ə k 'ow t ə
LAKOTAS	l ə k 'ow t ə z
LAKOTAS'	l ə k 'ow t ə z
LAKSHAMANAN	l æ k ʃ ə m 'ɑ n ə n
LAKSHAMANAN'S	l æ k ʃ ə m 'ɑ n ə n z
LAL	l 'æ l
LALA	l 'ɑ l ə
LALANDE	l ɑ l 'ɑ n d ij
LALAS	l 'ɑ l ə s
LALIBERTE	l ɑ l ij b 'ɛ ɹ t ij
LALIT	l ə l 'ij t
LALITA	l ə l 'ij t ə
LALITESH	l 'ɑ l ˌɪ t ˌɛ ʃ
LALL	l 'ɔ l
LALLA	l 'æ l ə
LALLERA	l ə l 'ɛ ɹ ə
LALLEY	l 'æ l ij
LALLI	l 'æ l ij
LALLIE	l 'ɔ l ij
LALLIER	l 'æ l ij ə ɹ
LALLO	l 'æ l ow
LALLY	l 'æ l ij
LALONDE	l ɑ l 'ow n d ij
LALONE	l ɑ l 'ow n ij
LALOR	l æ l 'ɔ ɹ
LAM	l 'æ m
LAMA	l 'ɑ m ə
LAMA'S	l 'ɑ m ə z
LAMACCHIA	l ɑ m 'ɑ k ij ə
LAMAGNA	l ɑ m 'ɑ g n ə
LAMAGNA(1)	l ə m 'ɑ n j ə
LAMAIST	l 'ɑ m aj ɪ s t
LAMAMRA	l ə m 'ɑ m ɹ ə
LAMAN	l 'ej m ə n
LAMANNA	l 'æ m ɪ n ə
LAMANTIA	l ɑ m 'ɑ n ʃ ə
LAMAR	l ə m 'ɑ ɹ
LAMAR'S	l ə m 'ɑ ɹ z
LAMARCA	l ɑ m 'ɑ ɹ k ə
LAMARCHE	l ɑ m 'ɑ ɹ k ij
LAMARR	l ə m 'ɑ ɹ
LAMARR(1)	l ɑ m 'ɑ ɹ
LAMARRE	l ɑ m 'ɑ ɹ ij
LAMARTINA	l ɑ m ɑ ɹ t 'ij n ə
LAMAS	l 'ɑ m ə z
LAMASTER	l 'ɑ m æ s t ə ɹ
LAMASTUS	l 'æ m ə s t ɪ s
LAMATTINA	l ɑ m ɑ t 'ij n ə
LAMAUR	l ə m 'ɔ ɹ
LAMAY	l 'æ m ej
LAMB	l 'æ m
LAMB'S	l 'æ m z
LAMBASTE	l ˌæ m b 'æ s t
LAMBASTE(1)	l ˌæ m b 'ej s t
LAMBASTED	l ˌæ m b 'æ s t ɪ d
LAMBASTED(1)	l ˌæ m b 'ej s t ɪ d
LAMBASTES	l ˌæ m b 'æ s t s
LAMBASTES(1)	l ˌæ m b 'ej s t s
LAMBASTES(2)	l ˌæ m b 'æ s
LAMBASTES(3)	l ˌæ m b 'ej s
LAMBASTING	l æ m b 'ej s t ɪ ŋ
LAMBDA	l 'æ m d ə
LAMBDIN	l 'æ m d ɪ n
LAMBE	l 'æ m
LAMBEAU	l æ m b 'ow
LAMBERG	l 'æ m b ə ɹ g
LAMBERSON	l 'æ m b ə ɹ s ə n
LAMBERT	l 'æ m b ə ɹ t
LAMBERT'S	l 'æ m b ə ɹ t s
LAMBERTH	l 'æ m b ə ɹ θ
LAMBERTI	l ɑ m b 'ɛ ɹ t ij
LAMBERTO	l ɑ m b 'ɛ ɹ t ˌow
LAMBERTON	l 'æ m b ə ɹ t ə n
LAMBERTSON	l 'æ m b ə ɹ t s ə n
LAMBERTY	l 'æ m b ə ɹ t ij
LAMBETH	l 'æ m b ɪ θ
LAMBIASE	l ɑ m b ij 'ɑ s ij
LAMBIE	l 'æ m b ij
LAMBING	l 'æ m ɪ ŋ
LAMBORGHINI	l ˌæ m b ə ɹ g 'ij n ij
LAMBORGHINI'S	l ˌæ m b ə ɹ g 'ij n ij z
LAMBORGHINIS	l ˌæ m b ə ɹ g 'ij n ij z
LAMBORN	l ə m b 'ɔ ɹ n
LAMBOY	l 'æ m b ˌɔj
LAMBREAU	l æ m b ɹ 'ow
LAMBRECHT	l 'æ m b ɹ ɪ k t
LAMBRIGHT	l 'æ m b ɹ ˌaj t
LAMBRO	l 'æ m b ɹ ow
LAMBROS	l 'æ m b ɹ ow z
LAMBS	l 'æ m z
LAMBS'	l 'æ m z
LAMBSDORFF	l 'æ m z d ɔ ɹ f
LAMBSON	l 'æ m s ə n
LAMBY	l 'æ m b ij
LAME	l 'ej m
LAMELLAR	l ə m 'ɛ l ə ɹ
LAMELY	l 'ej m l ij
LAMENDOLA	l ɑ m ɛ n d 'ow l ə
LAMENT	l ə m 'ɛ n t
LAMENTABLE	l ə m 'ɛ n t ə b ə l
LAMENTED	l ə m 'ɛ n t ɪ d
LAMENTING	l ə m 'ɛ n t ɪ ŋ
LAMENTS	l ə m 'ɛ n t s
LAMER	l 'ej m ə ɹ
LAMERE	l ɑ m 'ɛ ɹ ej
LAMERS	l 'ej m ə ɹ z
LAMETA	l ə m 'ɛ t ə
LAMEY	l 'ej m ij
LAMIA	l 'ej m ij ə
LAMICA	l 'æ m ɪ k ə
LAMIE	l 'ej m ij
LAMINA	l 'æ m ə n ə
LAMINACK	l 'æ m ɪ n ə k
LAMINAR	l 'æ m ɪ n ə ɹ
LAMINATE	l 'æ m ə n ə t
LAMINATE(1)	l 'æ m ə n ˌej t
LAMINATED	l 'æ m ə n ˌej t ə d
LAMINATES	l 'æ m ə n ə t s
LAMINATING	l 'æ m ə n ˌej t ɪ ŋ
LAMINE	l ə m 'ij n
LAMINE'S	l ə m 'ij n z
LAMINER	l 'æ m ə n ə ɹ
LAMINNE	l ə m 'ɪ n
LAMIRANDE	l ɑ m ɪ ɹ 'ɑ n d ij
LAMISON	l 'æ m ɪ s ə n
LAMKE	l 'æ m k ij
LAMKIN	l 'æ m k ɪ n
LAMLE	l 'æ m l ij
LAMM	l 'æ m
LAMM'S	l 'æ m z
LAMME	l 'æ m
LAMMERS	l 'æ m ə ɹ z
LAMMERT	l 'æ m ə ɹ t
LAMMEY	l 'æ m ij
LAMMI	l 'æ m ij
LAMMON	l 'æ m ə n
LAMMOND	l 'æ m ə n d
LAMMONS	l 'æ m ə n z
LAMON	l ɑ m 'ɔ n
LAMOND	l ə m 'ɑ n d
LAMONICA	l ɑ m ow n 'ij k ə
LAMONS	l 'ɑ m ow n z
LAMONT	l ə m 'ɑ n t
LAMONTAGNE	l ˌɑ m ɑ n t 'ej n
LAMONTE	l ɑ m 'ɑ n t
LAMORA	l ɑ m 'ɔ ɹ ə
LAMORE	l 'ɑ m ɔ ɹ
LAMOREAUX	l 'æ m ə ɹ ow
LAMOREUX	l 'æ m ə ɹ ow
LAMORTE	l ɑ m 'ɔ ɹ t ij
LAMOS	l 'ɑ m ow s
LAMOTHE	l 'æ m ə ð
LAMOTT	l ə m 'ɑ t
LAMOTTA	l ɑ m 'ow t ə
LAMOTTE	l ə m 'ɔ t
LAMOUNTAIN	l 'æ m uw n t ej n
LAMOUREAUX	l 'æ m ʊ ɹ ow
LAMOUREUX	l 'æ m ʊ ɹ ow
LAMP	l 'æ m p
LAMPE	l 'æ m p
LAMPERT	l 'æ m p ˌɛ ɹ t
LAMPF	l 'æ m p f
LAMPHEAR	l 'æ m h ə ɹ
LAMPHERE	l 'æ m f ə ɹ
LAMPHIER	l 'æ m f ij ə ɹ
LAMPI	l 'æ m p ij
LAMPING	l 'æ m p ɪ ŋ
LAMPKIN	l 'æ m p k ɪ n
LAMPKINS	l 'æ m p k ɪ n z
LAMPL	l 'æ m p ə l
LAMPLEY	l 'æ m p l ij
LAMPLIGHTER	l 'æ m p l ˌaj t ə ɹ
LAMPLIGHTER'S	l 'æ m p l ˌaj t ə ɹ z
LAMPLIGHTERS	l 'æ m p l ˌaj t ə ɹ z
LAMPMAN	l 'æ m p m ə n
LAMPO	l 'æ m p ow
LAMPOON	l æ m p 'uw n
LAMPOON'S	l æ m p 'uw n z
LAMPOONED	l æ m p 'uw n d
LAMPORT	l 'æ m p ˌɔ ɹ t
LAMPP	l 'æ m p
LAMPPOST	l 'æ m p p ˌow s t
LAMPPOST(1)	l 'æ m p ˌow s t
LAMPPOSTS	l 'æ m p p ˌow s t s
LAMPREY	l 'æ m p ɹ ij
LAMPREYS	l 'æ m p ɹ ij z
LAMPRON	l 'æ m p ɹ ə n
LAMPROS	l 'æ m p ɹ ow z
LAMPS	l 'æ m p s
LAMPSON	l 'æ m p s ə n
LAMPTON	l 'æ m p t ə n
LAMSON	l 'æ m s ə n
LAMSTON	l 'æ m s t ə n
LAMY	l 'ej m ij
LAN	l 'æ n
LANA	l 'æ n ə
LANAGAN	l 'æ n ə g æ n
LANAHAN	l 'æ n ə h æ n
LANAI	l ə n 'aj
LANAI-CITY	l ə n 'aj s ˌɪ t ij
LANASA	l ɑ n 'ɑ s ə
LANCASHIRE	l 'æ ŋ k ə ʃ ˌaj ɹ
LANCASTER	l 'æ n k ˌæ s t ə ɹ
LANCASTER(1)	l 'æ ŋ k ə s t ə ɹ
LANCASTRIAN	l ˌæ ŋ k 'æ s t ɹ ij ə n
LANCE	l 'æ n s
LANCE'S	l 'æ n s ɪ z
LANCELET	l 'æ n s l ə t
LANCELOT	l 'æ n s ə l ˌɑ t
LANCEOLATE	l 'æ n s ij ə l ˌej t
LANCER	l 'æ n s ə ɹ
LANCERS	l 'æ n s ə ɹ z
LANCET	l 'æ n s ə t
LANCET'S	l 'æ n s ə t s
LANCETS	l 'æ n s ə t s
LANCIA	l 'ɑ n ʧ ə
LANCING	l 'æ n s ɪ ŋ
LANCIT	l 'æ n s ɪ t
LANCLOS	l 'æ n k l ow z
LANCOME	l 'æ n k ə m
LANCOME(1)	l 'ɑ n k ˌow m
LANCON	l 'æ ŋ k ə n
LANCOUR	l ə n k 'ʊ ɹ
LANCTOT	l 'æ ŋ k t ə t
LANCZ	l 'æ n ʧ
LAND	l 'æ n d
LAND'S	l 'æ n d z
LANDA	l 'æ n d ə
LANDAU	l 'æ n d ˌaw
LANDAUER	l 'æ n d ˌaw ə ɹ
LANDAY	l 'æ n d ˌej
LANDBANK	l 'æ n d b ˌæ ŋ k
LANDBERG	l 'æ n d b ə ɹ g
LANDE	l 'æ n d
LANDECK	l 'æ n d ɪ k
LANDED	l 'æ n d ə d
LANDED(1)	l 'æ n d ɪ d
LANDEFELD	l 'æ n d ɪ f ɛ l d
LANDELL	l æ n d 'ɛ l
LANDEN	l 'æ n d ə n
LANDENBERGER	l 'æ n d ə n b ə ɹ g ə ɹ
LANDER	l 'æ n d ə ɹ
LANDEROS	l 'æ n d ə ɹ ow z
LANDERS	l 'æ n d ə ɹ z
LANDES	l 'æ n d z
LANDESBANK	l 'æ n d ij z b ˌæ ŋ k
LANDESMAN	l 'æ n d ɪ s m ə n
LANDESS	l 'æ n d ə s
LANDFAIR	l 'æ n d f ˌɛ ɹ
LANDFALL	l 'æ n d f ˌɔ l
LANDFILL	l 'æ n d f ˌɪ l
LANDFILLING	l 'æ n d f ɪ l ɪ ŋ
LANDFILLS	l 'æ n d f ˌɪ l z
LANDFORM	l 'æ n d f ˌɔ ɹ m
LANDFORMS	l 'æ n d f ˌɔ ɹ m z
LANDFRIED	l 'æ n d f ə ɹ ij d
LANDGRAF	l 'æ n ʤ ɹ ə f
LANDGRAVE	l 'æ n d g ɹ ˌej v
LANDGREBE	l 'æ n ʤ ɹ ɪ b
LANDGREN	l 'æ n d g ɹ ɛ n
LANDHOLDER	l 'æ n d h ˌow l d ə ɹ
LANDHOLDERS	l 'æ n d h ˌow l d ə ɹ z
LANDHOLDING	l 'æ n d h ˌow l d ɪ ŋ
LANDHOLDINGS	l 'æ n d h ˌow l d ɪ ŋ z
LANDI	l 'æ n d ij
LANDIN	l 'æ n d ɪ n
LANDING	l 'æ n d ɪ ŋ
LANDINGHAM	l 'æ n d ɪ ŋ h ˌæ m
LANDINGS	l 'æ n d ɪ ŋ z
LANDINI	l ɑ n d 'ij n ij
LANDINO	l ɑ n d 'ij n ow
LANDIS	l 'æ n d ɪ s
LANDLADY	l 'æ n d l ˌej d ij
LANDLER	l 'æ n d l ə ɹ
LANDLER'S	l 'æ n d l ə ɹ z
LANDLESS	l 'æ n d l ə s
LANDLOCK	l 'æ n d l ˌɑ k
LANDLOCKED	l 'æ n d l ˌɑ k t
LANDLORD	l 'æ n d l ˌɔ ɹ d
LANDLORD'S	l 'æ n d l ˌɔ ɹ d z
LANDLORDS	l 'æ n d l ˌɔ ɹ d z
LANDMAN	l 'æ n d m ə n
LANDMARK	l 'æ n d m ˌɑ ɹ k
LANDMARK'S	l 'æ n d m ˌɑ ɹ k s
LANDMARKS	l 'æ n d m ˌɑ ɹ k s
LANDMASS	l 'æ n d m ˌæ s
LANDMASSES	l 'æ n d m ˌæ s ɪ z
LANDMESSER	l 'æ n d m ˌɛ s ə ɹ
LANDMINE	l 'æ n d m ˌaj n
LANDMINES	l 'æ n d m ˌaj n z
LANDO	l 'æ n d ow
LANDOLFI	l ɑ n d 'ow l f ij
LANDOLT	l 'æ n d ˌow l t
LANDON	l 'æ n d ə n
LANDON'S	l 'æ n d ə n z
LANDOR	l 'æ n d ə ɹ
LANDOVER	l 'æ n d ˌow v ə ɹ
LANDOW	l 'æ n d ow
LANDOWNER	l 'æ n d ˌow n ə ɹ
LANDOWNERS	l 'æ n d ˌow n ə ɹ z
LANDOWSKI	l ə n d 'ɔ f s k ij
LANDRENEAU	l 'æ n d ɹ ɪ n ow
LANDRESS	l 'æ n d ɹ ɪ s
LANDRETH	l 'æ n d ɹ ɪ θ
LANDRIEU	l 'æ n d ɹ uw
LANDRIEU(1)	l æ n d ɹ 'ij uw
LANDRIGAN	l 'æ n d ɹ ɪ g ə n
LANDRITH	l 'æ n d ɹ ɪ θ
LANDROVER	l 'æ n d ɹ 'ow v ə ɹ
LANDRUM	l 'æ n d ɹ ə m
LANDRUS	l 'æ n d ɹ ə s
LANDRY	l 'æ n d ɹ ij
LANDRY'S	l 'æ n d ɹ ij z
LANDS	l 'æ n d z
LANDS'	l 'æ n d z
LANDSAT	l 'æ n d s 'æ t
LANDSBERG	l 'æ n d z b ə ɹ g
LANDSBERGER	l 'æ n d z b ə ɹ g ə ɹ
LANDSBERGIS	l 'æ n d z b ə ɹ g ə s
LANDSCAPE	l 'æ n d s k ˌej p
LANDSCAPE(1)	l 'æ n s k ˌej p
LANDSCAPED	l 'æ n d s k ˌej p t
LANDSCAPER	l 'æ n d s k ˌej p ə ɹ
LANDSCAPERS	l 'æ n d s k ˌej p ə ɹ z
LANDSCAPES	l 'æ n d s k ˌej p s
LANDSCAPES(1)	l 'æ n s k ˌej p s
LANDSCAPING	l 'æ n d s k ˌej p ɪ ŋ
LANDSCAPING(1)	l 'æ n s k ˌej p ɪ ŋ
LANDSEND	l 'æ n d z 'ɛ n d
LANDSLIDE	l 'æ n d s l ˌaj d
LANDSLIDE(1)	l 'æ n s l ˌaj d
LANDSLIDES	l 'æ n d s l ˌaj d z
LANDSLIDES(1)	l 'æ n s l ˌaj d z
LANDSMAN	l 'æ n d z m ə n
LANDSNER	l 'æ n d z n ə ɹ
LANDSTON	l 'æ n d s t ə n
LANDSTROM	l 'æ n d s t ɹ ə m
LANDT	l 'æ n t
LANDVIEW	l 'æ n d v j ˌuw
LANDVIEW'S	l 'æ n d v j ˌuw z
LANDVIEWITE	l 'æ n d v j uw aj t
LANDVIEWITES	l 'æ n d v j uw aj t s
LANDWARD	l 'æ n d w ə ɹ d
LANDWEHR	l 'æ n d w ɪ ɹ
LANDY	l 'æ n d ij
LANE	l 'ej n
LANE'S	l 'ej n z
LANEHART	l 'ej n h ˌɑ ɹ t
LANES	l 'ej n z
LANESE	l ɑ n 'ej z ij
LANETE	l ə n 'ij t
LANEVE	l ə n 'ij v
LANEY	l 'ej n ij
LANFEAR	l 'æ n f ə ɹ
LANFORD	l 'æ n f ə ɹ d
LANG	l 'æ ŋ
LANGAN	l 'æ ŋ g ə n
LANGBEHN	l 'æ ŋ b ɪ n
LANGBEIN	l 'æ ŋ b aj n
LANGBO	l 'æ ŋ b ow
LANGDALE	l 'æ ŋ d ˌej l
LANGDON	l 'æ ŋ d ə n
LANGE	l 'æ ŋ
LANGE'S	l 'æ ŋ z
LANGEL	l 'ej ŋ g ə l
LANGELAND	l 'ej ŋ g ɪ l ə n d
LANGELAND(1)	l 'ej ŋ g l ə n d
LANGELIER	l 'ej n ʤ l ij ə ɹ
LANGELLA	l æ n ʤ 'ɛ l ə ɹ
LANGEN	l 'æ ŋ ə n
LANGENBACH	l 'ej ŋ g ɪ n b ɑ k
LANGENBERG	l 'æ ŋ ə n b ə ɹ g
LANGENDERFER	l 'ej ŋ g ɪ n d ə ɹ f ə ɹ
LANGENDORF	l 'ej ŋ g ɪ n d ɔ ɹ f
LANGENFELD	l 'ej ŋ g ɪ n f ɛ l d
LANGER	l 'æ ŋ ə ɹ
LANGERMAN	l 'æ ŋ ə ɹ m ə n
LANGERS	l 'æ ŋ ə ɹ z
LANGEVIN	l 'ej ŋ g ɪ v ɪ n
LANGFELDT	l 'æ ŋ f ɛ l t
LANGFITT	l 'æ ŋ f ɪ t
LANGFORD	l 'æ ŋ f ə ɹ d
LANGGUTH	l 'æ ŋ uw θ
LANGHAM	l 'æ ŋ h æ m
LANGHAM(1)	l 'æ ŋ ə m
LANGHANS	l 'æ ŋ h ə n z
LANGHOFF	l 'æ ŋ h ɔ f
LANGHORN	l 'æ ŋ h ɔ ɹ n
LANGHORNE	l 'æ ŋ h ɔ ɹ n
LANGHORST	l 'æ ŋ h ɔ ɹ s t
LANGILL	l 'æ ŋ g ə l
LANGILLE	l ɑ ŋ g 'ij l ij
LANGLAIS	l ə ŋ g l 'ej
LANGLAND	l 'æ ŋ l ə n d
LANGLEY	l 'æ ŋ l ij
LANGLEY(1)	l 'æ ŋ g l ij
LANGLINAIS	l 'æ ŋ g l ɪ n ej
LANGLOIS	l ə ŋ l w 'ɑ
LANGMAN	l 'æ ŋ m ə n
LANGNER	l 'æ ŋ n ə ɹ
LANGO	l 'ɑ ŋ g ow
LANGONE	l ɑ ŋ g 'ow n ij
LANGOWSKI	l ə ŋ g 'ɔ f s k ij
LANGREHR	l 'æ ŋ g ɹ ɪ ɹ
LANGRIDGE	l 'æ ŋ g ɹ ɪ ʤ
LANGSAM	l 'æ ŋ s ə m
LANGSDORF	l 'æ ŋ z d ɔ ɹ f
LANGSETH	l 'æ ŋ s ɛ θ
LANGSFORD	l 'æ ŋ z f ə ɹ d
LANGSTAFF	l 'æ ŋ s t æ f
LANGSTON	l 'æ ŋ s t ə n
LANGTON	l 'æ ŋ t ə n
LANGUAGE	l 'æ ŋ g w ə ʤ
LANGUAGE(1)	l 'æ ŋ g w ɪ ʤ
LANGUAGES	l 'æ ŋ g w ə ʤ ə z
LANGUAGES(1)	l 'æ ŋ g w ɪ ʤ ɪ z
LANGUID	l 'æ ŋ g w ə d
LANGUISH	l 'æ ŋ g w ɪ ʃ
LANGUISHED	l 'æ ŋ g w ɪ ʃ t
LANGUISHES	l 'æ ŋ g w ɪ ʃ ɪ z
LANGUISHING	l 'æ ŋ g w ɪ ʃ ɪ ŋ
LANGWELL	l 'æ ŋ g w ɛ l
LANGWORTH	l 'æ ŋ g w ə ɹ θ
LANGWORTHY	l 'æ ŋ w ə ɹ ð ij
LANHAM	l 'æ n ə m
LANI	l 'ɑ n ij
LANIER	l ə n 'ɪ ɹ
LANIGAN	l 'æ n ɪ g ə n
LANING	l 'ej n ɪ ŋ
LANINGHAM	l 'æ n ɪ ŋ h ˌæ m
LANIUS	l 'ej n ij ɪ s
LANK	l 'æ ŋ k
LANKA	l 'æ ŋ k ə
LANKA'S	l 'æ ŋ k ə z
LANKAN	l 'æ ŋ k ə n
LANKANS	l 'æ ŋ k ə n z
LANKFORD	l 'æ ŋ k f ə ɹ d
LANKTREE	l 'æ ŋ k t ɹ ˌij
LANKY	l 'æ ŋ k ij
LANMAN	l 'æ n m ə n
LANN	l 'æ n
LANNA	l 'æ n ə
LANNAN	l 'æ n ə n
LANNEN	l 'æ n ə n
LANNERS	l 'æ n ə ɹ z
LANNI	l 'æ n ij
LANNING	l 'æ n ɪ ŋ
LANNO	l 'æ n ow
LANNO'S	l 'æ n ow z
LANNOM	l 'æ n ə m
LANNON	l 'æ n ə n
LANNY	l 'æ n ij
LANO	l 'ɑ n ow
LANOLIN	l 'æ n ə l ə n
LANOLIN(1)	l 'æ n ə l ɪ n
LANOUE	l 'æ n uw ˌej
LANOUETTE	l 'æ n uw ɛ t
LANPHEAR	l 'æ n f ˌɪ ɹ
LANPHER	l 'æ n f ə ɹ
LANPHERE	l 'æ n f ˌɪ ɹ
LANPHIER	l 'æ n f ɪ ɹ
LANSBERRY	l 'æ n z b ˌɛ ɹ ij
LANSBURY	l 'æ n z b ˌɛ ɹ ij
LANSBURY'S	l 'æ n z b ˌɛ ɹ ij z
LANSDALE	l 'æ n z d ˌej l
LANSDELL	l 'æ n z d ə l
LANSDOWN	l 'æ n z d aw n
LANSDOWNE	l 'æ n s d ˌaw n
LANSER	l 'æ n s ə ɹ
LANSFORD	l 'æ n s f ə ɹ d
LANSING	l 'æ n s ɪ ŋ
LANSING'S	l 'æ n s ɪ ŋ z
LANSKY	l 'æ n s k ij
LANSTON	l 'æ n s t ə n
LANT	l 'æ n t
LANTANA	l æ n t 'æ n ə
LANTER	l 'æ n t ə ɹ
LANTERMAN	l 'æ n t ə ɹ m ə n
LANTERN	l 'æ n t ə ɹ n
LANTERNS	l 'æ n t ə ɹ n z
LANTHANUM	l 'æ n θ ə n ə m
LANTHIER	l 'æ n θ ij ə ɹ
LANTING	l 'æ n t ɪ ŋ
LANTING'S	l 'æ n t ɪ ŋ z
LANTIS	l 'ɑ n t ɪ s
LANTOS	l 'æ n t ow s
LANTRIP	l 'æ n t ɹ ɪ p
LANTRY	l 'æ n t ɹ ij
LANTZ	l 'æ n t s
LANTZY	l 'æ n t z ij
LANUM	l 'æ n ə m
LANVIN	l 'æ n v ɪ n
LANYARD	l 'æ n j ə ɹ d
LANYI	l 'ɑ n j ij
LANYON	l 'æ n j ə n
LANZ	l 'æ n z
LANZA	l 'æ n z ə
LANZELOTTI	l ˌæ n z ə l 'ɑ t ij
LANZER	l 'æ n z ə ɹ
LANZET	l 'æ n z ə t
LANZI	l 'æ n z ij
LANZILLO	l ˌæ n z 'ɪ l ow
LANZO	l 'æ n z ow
LAO	l 'aw
LAOS	l 'ɑ ow s
LAOS(1)	l 'aw s
LAOS(2)	l 'ej ow s
LAOTIAN	l ej 'ow ʃ ə n
LAOTIAN(1)	l ɑ 'ow ʃ ə n
LAOTIAN(2)	l 'aw ʃ ə n
LAP	l 'æ p
LAPAGE	l 'ɑ p ɪ ʤ
LAPAGLIA	l ɑ p 'ɑ g l ij ə
LAPALME	l ɑ p 'ɑ l m ij
LAPAN	l ə p 'æ n
LAPAROSCOPIC	l ˌæ p ə ɹ 'ɑ s k ə p ɪ k
LAPAROSCOPIC(1)	l ˌæ p ɹ ə s k 'ɑ p ɪ k
LAPAROSCOPY	l ˌæ p ə ɹ 'ɑ s k ə p ij
LAPAROSCOPY(1)	l 'æ p ɹ ə s k ə p ij
LAPD	'ɛ l 'ej p 'ij d 'ij
LAPD'S	'ɛ l 'ej p 'ij d 'ij z
LAPDOG	l 'æ p d ˌɔ g
LAPE	l 'ej p
LAPEL	l ə p 'ɛ l
LAPELS	l ə p 'ɛ l z
LAPENNA	l ɑ p 'ɛ n ə
LAPENTA	l ɑ p 'ɛ n t ə
LAPERLE	l 'æ p ə ɹ ə l
LAPEYROUSE	l 'æ p ɪ ɹ uw s
LAPHAM	l 'æ f ə m
LAPHROAIG	l ˌæ f ɹ ow 'ej g
LAPIANA	l ɑ p ij 'æ n ə
LAPIDARY	l 'æ p ə d ˌɛ ɹ ij
LAPIDES	l ə p 'aj d z
LAPIDUS	l 'æ p ɪ d ɪ s
LAPIDUS(1)	l ə p 'ij d ə s
LAPIER	l 'ej p ij ə ɹ
LAPIERRE	l 'æ p ij ɛ ɹ
LAPIN	l 'æ p ɪ n
LAPINE	l ɑ p 'ij n ij
LAPINSKI	l ə p 'ɪ n s k ij
LAPINSKY	l ə p 'ɪ n s k ij
LAPIS	l 'æ p ə s
LAPKA	l 'ɑ p k ə
LAPLACA	l ə p l 'ɑ k ə
LAPLAND	l 'æ p l ˌæ n d
LAPLANT	l ə p l 'ɔ n t
LAPLANTE	l ə p l 'ɑ n t ij
LAPLUME	l ə p l 'uw m
LAPOINT	l ə p 'ɔj n t
LAPOINTE	l ə p 'ɔj n t
LAPOLLA	l ə p 'ow l ə
LAPORTA	l ə p 'ɔ ɹ t ə
LAPORTE	l ə p 'ɔ ɹ t
LAPP	l 'æ p
LAPPE	l 'æ p
LAPPED	l 'æ p t
LAPPEN	l 'æ p ə n
LAPPIN	l ə p 'æ n
LAPPING	l 'æ p ɪ ŋ
LAPPS	l 'æ p s
LAPRADE	l ɑ p ɹ 'ɑ d ij
LAPRAIRIE	l ə p ɹ 'ɛ ɹ ij
LAPRE	l 'ej p ə ɹ
LAPRISE	l 'ɑ p ɹ aj z
LAPS	l 'æ p s
LAPSE	l 'æ p s
LAPSED	l 'æ p s t
LAPSES	l 'æ p s ɪ z
LAPSING	l 'æ p s ɪ ŋ
LAPSLEY	l 'æ p s l ij
LAPTOP	l 'æ p t ˌɑ p
LAPTOPS	l 'æ p t ˌɑ p s
LAR	l 'ɑ ɹ
LARA	l 'ɑ ɹ ə
LARABEE	l 'æ ɹ ə b ij
LARAIA	l ɑ ɹ 'ɑ j ə
LARAINE	l ə ɹ 'ej n
LARAMEE	l 'æ ɹ ə m ij
LARAMIE	l 'ɛ ɹ ə m ij
LARAMORE	l 'æ ɹ ə m ˌɔ ɹ
LARAWAY	l 'æ ɹ ə w ˌej
LARCENOUS	l 'ɑ ɹ s ə n ə s
LARCENY	l 'ɑ ɹ s ə n ij
LARCH	l 'ɑ ɹ ʧ
LARCHE	l 'ɑ ɹ ʧ ij
